fold	best_gamma	coverage	mean_width	n_cal	n_test
2019	0.01	0.9857320099255583	0.9997326986892653	3224	3224
2020-COVID	0.01	0.0	1.0	4160	4160
2021	0.01	0.9898527004909984	0.9999450122044301	6110	6110
2022-Bear	0.01	0.9326923076923077	0.9987833814702725	208	208
2023	0.01	0.9889725658956429	0.9998560957648356	3718	3718
2024-Val	0.01	0.9889423076923077	0.9999264397044808	6240	6240
