threshold,buy_signals,sell_signals,trades,win_rate,net_expectancy,profit_factor,annual_return,sharpe,max_dd,avg_hold_days,avg_invested_pct
0.65,159,2,116,0.5344827586206896,3.7941238940754842,1.4057861775960507,0.08940098971182797,0.9715870516661952,0.022688352922457633,9.732758620689655,0.2260699799862324
0.63,530,3,255,0.5254901960784314,3.8997357378313398,1.4556733694004298,0.1444558592275731,1.3945681052968224,0.04543026549173579,9.8,0.498894219047938
0.6,1876,13,362,0.5441988950276243,4.131385657702488,1.4916653572688197,0.1949334254006443,1.599530618925372,0.0403605067549343,9.743093922651934,0.7052846345902996
0.58,3348,24,397,0.5617128463476071,2.986048858201898,1.3499122082429444,0.16234575625366965,1.1689725698610336,0.06427989225131714,9.758186397984886,0.7739533537770568
0.55,5929,69,428,0.5700934579439252,2.6874687819405767,1.3117837255241918,0.1585777268066566,1.147214217015795,0.054655186798094446,9.523364485981308,0.8142227204991247
