date,equity,daily_pnl,daily_return
2024-01-03,10000.0,0.0,0.0
2024-01-04,10000.0,0.0,0.0
2024-01-05,10000.0,0.0,0.0
2024-01-08,10000.0,0.0,0.0
2024-01-09,10000.0,0.0,0.0
2024-01-10,10000.0,0.0,0.0
2024-01-11,10000.0,0.0,0.0
2024-01-12,10000.0,0.0,0.0
2024-01-15,10000.0,0.0,0.0
2024-01-16,10057.656549594569,57.65654959456905,0.005765654959456912
2024-01-17,10057.656549594569,0.0,0.0
2024-01-18,10057.656549594569,0.0,0.0
2024-01-19,10057.656549594569,0.0,0.0
2024-01-22,10057.656549594569,0.0,0.0
2024-01-23,10057.656549594569,0.0,0.0
2024-01-24,10173.026913648495,115.37036405392661,0.011470899158768422
2024-01-25,10233.042807322412,60.01589367391688,0.005899511933208146
2024-01-26,10291.432181901966,58.38937457955317,0.005705964069433245
2024-01-29,10291.432181901966,0.0,0.0
2024-01-30,10291.432181901966,0.0,0.0
2024-01-31,10333.755723748633,42.32354184666695,0.004112502623405012
2024-02-01,10333.755723748633,0.0,0.0
2024-02-02,10356.716632129215,22.960908380581753,0.0022219325668608736
2024-02-05,10356.716632129215,0.0,0.0
2024-02-06,10387.564128649137,30.84749651992196,0.0029785015478964727
2024-02-07,10387.564128649137,0.0,0.0
2024-02-08,10387.564128649137,0.0,0.0
2024-02-09,10387.564128649137,0.0,0.0
2024-02-12,10387.564128649137,0.0,0.0
2024-02-13,10415.275842827406,27.711714178268807,0.002667777915501768
2024-02-14,10364.50536255543,-50.77048027197673,-0.004874616960523381
2024-02-15,10496.951000911984,132.44563835655336,0.012778770787755134
2024-02-16,10492.538893724135,-4.412107187849325,-0.00042032273823755517
2024-02-19,10492.538893724135,0.0,0.0
2024-02-20,10492.538893724135,0.0,0.0
2024-02-21,10518.943672860963,26.404779136828207,0.002516529069300999
2024-02-22,10578.926375909634,59.982703048670345,0.005702350436900483
2024-02-23,10578.926375909634,0.0,0.0
2024-02-26,10578.926375909634,0.0,0.0
2024-02-27,10578.926375909634,0.0,0.0
2024-02-28,10633.765311797039,54.838935887404396,0.005183790295798296
2024-02-29,10641.723524439454,7.9582126424155275,0.0007483908483090218
2024-03-01,10641.723524439454,0.0,0.0
2024-03-04,10656.632143752524,14.90861931307049,0.0014009590907742009
2024-03-05,10656.632143752524,0.0,0.0
2024-03-06,10653.240210330203,-3.3919334223203137,-0.0003182931883699558
2024-03-07,10645.146032657918,-8.09417767228506,-0.000759785521820544
2024-03-08,10677.342360556979,32.196327899060904,0.0030245078649260293
2024-03-11,10677.342360556979,0.0,0.0
2024-03-12,10717.711618981517,40.36925842453908,0.003780833943628714
2024-03-13,10804.973937375507,87.26231839399043,0.008141879675083397
2024-03-14,10813.228835808828,8.254898433320895,0.0007639905918481738
2024-03-15,10800.31643020858,-12.912405600247947,-0.001194130430078988
2024-03-18,10800.31643020858,0.0,0.0
2024-03-19,10842.28217508009,41.96574487151021,0.0038856032730791856
2024-03-20,10842.28217508009,0.0,0.0
2024-03-21,10842.28217508009,0.0,0.0
2024-03-22,10842.28217508009,0.0,0.0
2024-03-25,10842.28217508009,0.0,0.0
2024-03-26,10852.770138942042,10.487963861950643,0.0009673206888174413
2024-03-27,10868.57059768162,15.800458739579405,0.0014558917711602337
2024-03-28,10861.428622202493,-7.141975479127407,-0.0006571218740255569
2024-03-29,10861.428622202493,0.0,0.0
2024-04-01,10873.51678918109,12.088166978598451,0.0011129444752679962
2024-04-02,10874.398151117926,0.8813619368349431,8.105583077888667e-05
2024-04-03,10908.703676472443,34.305525354517926,0.003154705656146062
2024-04-04,10908.703676472443,0.0,0.0
2024-04-05,10907.735614039135,-0.9680624333091066,-8.874220640864294e-05
2024-04-08,10929.145997599557,21.410383560422027,0.0019628623499881037
2024-04-09,10951.276729050383,22.130731450827135,0.0020249277899377915
2024-04-10,10860.158291121284,-91.1184379290985,-0.008320348410828626
2024-04-11,10911.998203252664,51.83991213137903,0.004773402996691267
2024-04-12,10911.998203252664,0.0,0.0
2024-04-15,10911.998203252664,0.0,0.0
2024-04-16,10886.498965515875,-25.499237736789794,-0.0023368073621189422
2024-04-17,10840.425739727849,-46.07322578802701,-0.00423214349571599
2024-04-18,10857.126742853969,16.701003126119385,0.0015406224374485689
2024-04-19,10834.942548398089,-22.184194455879613,-0.0020432841009691005
2024-04-22,10839.945215090567,5.002666692479,0.0004617160331152892
2024-04-23,10831.882148247241,-8.063066843325696,-0.000743829113831751
2024-04-24,10831.882148247241,0.0,0.0
2024-04-25,10791.330372480741,-40.5517757665003,-0.0037437423350347165
2024-04-26,10758.494229919103,-32.83614256163824,-0.003042826178816127
2024-04-29,10704.230137698107,-54.264092220995146,-0.005043837089217296
2024-04-30,10704.230137698107,0.0,0.0
