entry_date,ticker,sizing_position_pct,dd_scalar,overlay_multiplier,fatigue_mult,congestion_mult,final_position_pct,blocked,block_reason,original_pct,scale_factor,phase1_net_pnl,phase3_scaled_pnl
2024-01-03,NVDA,0.037046937955536235,1.0,1.0,1.0,1.0,0.037046937955536235,False,,0.05,0.7409387591107247,77.81553992906038,57.65654959456905
2024-01-03,KO,0.08435002694126947,1.0,0.85,0.85,1.0,0.07169752290007905,False,,0.05,1.433950458001581,-2.380061427738809,-3.4128901743779614
2024-01-03,WFC,0.05316966509774914,1.0,0.7225,0.7225,1.0,0.038415083033123756,False,,0.05,0.7683016606624751,1.5461616565311442,1.1879185683655216
2024-01-03,PEP,0.08065173956205886,1.0,0.614125,0.614125,1.0,0.0495302495585494,False,,0.05,0.990604991170988,-22.2722692787465,-22.063021112230544
2024-01-03,GILD,0.05638158241909809,1.0,0.52200625,0.52200625,1.0,0.029431538407659323,False,,0.05,0.5886307681531864,-25.681924759613175,-15.11717109890344
2024-01-03,ISRG,0.04913530422155715,1.0,0.4437053125,0.4437053125,1.0,0.021801595514408585,False,,0.05,0.4360319102881717,83.56151107870728,36.43548530221496
2024-01-03,MS,0.0622308290061108,1.0,0.377149515625,0.377149515625,1.0,0.023470327016596886,False,,0.05,0.4694065403319377,-32.76142304206363,-15.378426246526116
2024-01-03,NFLX,0.05544005543750214,1.0,0.32057708828125,0.32057708828125,1.0,0.017772811546305518,False,,0.05,0.35545623092611034,73.86127098933827,26.254448997282235
2024-01-03,MSFT,0.069599323517058,1.0,0.27249052503906246,0.27249052503906246,1.0,0.0189651562075267,False,,0.05,0.379303124150534,42.66463391451084,16.182828934512788
2024-01-04,AMGN,0.06662642411603463,1.0,0.23161694628320306,0.23161694628320306,1.0,0.015431808895525497,False,,0.05,0.30863617791050996,10.651938957533426,3.2875737271891783
2024-01-04,COST,0.06895302037336809,1.0,0.19687440434072256,0.19687440434072256,1.0,0.01357508481350055,False,,0.05,0.271501696270011,33.226885039223106,9.021155649917723
2024-01-05,QQQ,0.09486027760259867,1.0,0.16734324368961417,0.16734324368961417,1.0,0.01587422655131612,False,,0.05,0.31748453102632235,33.825105591634625,10.738947785675952
2024-01-05,GS,0.05206688630210951,1.0,0.14224175713617204,0.14224175713617204,1.0,0.007406085396221344,False,,0.05,0.14812170792442686,-5.5542053293533975,-0.822698379546779
2024-01-10,DIS,0.059156747135582825,1.0,0.1209054935657462,0.1209054935657462,1.0,0.007152375710171684,False,,0.05,0.14304751420343367,35.77237077426229,5.117148716421781
2024-01-12,CAT,0.053974039938321096,1.0,0.10276966953088429,0.10276966953088429,1.0,0.00554689424770801,False,,0.05,0.11093788495416018,21.270325888909152,2.3596849664012987
2024-01-17,ADBE,0.05606507665839299,1.0,0.08735421910125163,0.08735421910125163,1.0,0.00489752099034573,False,,0.05,0.09795041980691459,27.510438189425063,2.69465896972636
2024-01-24,HD,0.05657244564950501,1.0,0.07425108623606391,0.07425108623606391,1.0,0.0042005655405064355,False,,0.05,0.0840113108101287,8.128620076023743,0.6828960276642827
2024-01-24,UNH,0.04978350642098581,1.0,0.06311342330065428,0.06311342330065428,1.0,0.003142007514138518,False,,0.05,0.06284015028277035,2.7075640833027723,0.17014373389497753
2024-01-24,PG,0.06987144334518501,1.0,0.05364640980555613,0.05364640980555613,1.0,0.0037483520834014927,False,,0.05,0.07496704166802985,11.319900085981018,0.8486194214236737
2024-01-25,QCOM,0.04664575134156906,1.0,0.045599448334722736,0.045599448334722736,1.0,0.0021270205283342018,False,,0.05,0.042540410566684034,-21.826707344225923,-0.9285170917422285
2024-01-25,TXN,0.040822089107247994,1.0,0.038759531084514354,0.038759531084514354,1.0,0.0015822450316871934,False,,0.05,0.031644900633743867,-37.24456252644176,-1.17860048029651
2024-01-26,LLY,0.05297497353624793,1.0,0.03294560142183722,0.03294560142183722,1.0,0.001745292363457599,False,,0.05,0.034905847269151975,94.95139484770873,3.3143588865470646
2024-01-26,WMT,0.08010457175594612,1.0,0.02800376120856163,0.02800376120856163,1.0,0.0022432292991676054,False,,0.05,0.04486458598335211,19.876946516754572,0.8917709760874266
2024-01-29,TMO,0.046255276136378004,1.0,0.0238031970272774,0.0238031970272774,1.0,0.0011010234514253281,False,,0.05,0.022020469028506563,-4.76930153312756,-0.1050222566978443
2024-01-31,MS,0.053897423705276934,1.0,0.02023271747318578,0.02023271747318578,1.0,0.0010904913463614541,False,,0.05,0.021809826927229083,-17.222868686723483,-0.3756277852478324
2024-01-31,BRK-B,0.08129722863362063,1.0,0.017197809852207868,0.017197809852207868,1.0,0.0013981342795524765,False,,0.05,0.02796268559104953,27.657858031094285,0.7733879882453737
2024-02-01,AXP,0.053100392980286015,1.0,0.014618138374376644,0.014618138374376644,1.0,0.0007762288923195992,False,,0.05,0.015524577846391984,29.83178782050814,0.4631259123165269
2024-02-01,QQQ,0.07871082526956596,1.0,0.012425417618220136,0.012425417618220136,1.0,0.0009780148750491117,False,,0.05,0.019560297500982232,17.977901908839023,0.3516531097803676
2024-02-07,INTC,0.03716900181845406,1.0,0.010561604975487082,0.010561604975487082,1.0,0.0003925643145396728,False,,0.05,0.007851286290793456,-6.7812578121362375,-0.05324159649476127
2024-02-07,DIS,0.05056218639815307,1.0,0.008977364229164064,0.008977364229164064,1.0,0.00045391516351910515,False,,0.05,0.009078303270382103,59.21419921885107,0.5375644584215531
2024-02-08,CAT,0.04534590929019315,1.0,0.007630759594789427,0.007630759594789427,1.0,0.0003460237324005924,False,,0.05,0.006920474648011848,8.77500613284276,0.06072720747848681
2024-02-12,CVX,0.1,1.0,0.006486145655571041,0.006486145655571041,1.0,0.0006486145655571041,False,,0.05,0.012972291311142081,7.454309656535245,0.09669947638803467
2024-02-14,GILD,0.0559119077002208,1.0,0.005513223807235401,0.005513223807235401,1.0,0.0003082548606408057,False,,0.05,0.006165097212816113,-3.0332835721744824,-0.018700488096493804
2024-02-15,ORCL,0.05127265661573574,1.0,0.004686240236150052,0.004686240236150052,1.0,0.000240275986446966,False,,0.05,0.00480551972893932,-2.783771540468306,-0.013377469058580246
2024-02-15,CSCO,0.055103544992636894,1.0,0.0039833042007275665,0.0039833042007275665,1.0,0.00021949418224415101,False,,0.05,0.00438988364488302,11.439259727853628,0.05021701918887363
2024-02-15,MRK,0.07307225508369232,1.0,0.0033858085706184315,0.0033858085706184315,1.0,0.0002474086675367817,False,,0.05,0.004948173350735634,-12.211492356399804,-0.0604245810506494
2024-02-16,ISRG,0.051006846317781206,1.0,0.0028779372850256113,0.0028779372850256113,1.0,0.00014679450480951383,False,,0.05,0.0029358900961902763,17.771045271892685,0.05217383581269877
2024-02-16,XOM,0.04702822255515002,1.0,0.0024462466922717807,0.0024462466922717807,1.0,0.00011504263386895688,False,,0.05,0.0023008526773791375,14.95636836026364,0.03441240018558122
2024-02-21,V,0.08193003292889539,1.0,0.0020793096884310636,0.0020793096884310636,1.0,0.00017035791124252826,False,,0.05,0.0034071582248505652,11.46168595660555,0.03905177757770282
2024-02-21,HD,0.055839010544246157,1.0,0.0017674132351663818,0.0017674132351663818,1.0,9.869060627449581e-05,False,,0.05,0.001973812125489916,19.33069019062032,0.03815515069233536
2024-02-22,SPY,0.09962594767055462,1.0,0.001502301249891369,0.001502301249891369,1.0,0.00014966818570708634,False,,0.05,0.0029933637141417264,12.29235786987022,0.036795498008914
2024-02-22,GE,0.058600321112649505,1.0,0.0012769560624076304,0.0012769560624076304,1.0,7.483003530383164e-05,False,,0.05,0.0014966007060766325,53.55735358130362,0.08015397318537487
2024-02-23,GS,0.049240645644645524,1.0,0.0010854126530465136,0.0010854126530465136,1.0,5.344641982687795e-05,False,,0.05,0.0010689283965375589,8.382199629239164,0.00895997120914034
2024-02-26,KO,0.08292996409228263,1.0,0.0009226007550895421,0.0009226007550895421,1.0,7.651124749108858e-05,False,,0.05,0.0015302249498217715,-7.785126728066172,-0.01191299515681119
2024-02-28,PEP,0.07629619049650493,1.0,0.0007842106418260997,0.0007842106418260997,1.0,5.98322845181505e-05,False,,0.05,0.00119664569036301,12.135376364814292,0.014521745827888151
2024-02-28,MU,0.036784078141972286,1.0,0.0006665790455522291,0.0006665790455522291,1.0,2.45194956993945e-05,False,,0.05,0.00049038991398789,11.04518459422584,0.005416447123142778
2024-02-28,MS,0.0525838300254517,1.0,0.0005665921887193504,0.0005665921887193504,1.0,2.979358734536697e-05,False,,0.05,0.0005958717469073394,14.569446978691488,0.008681521822666753
2024-03-06,AMGN,0.04457140440840785,1.0,0.00048160336041147556,0.00048160336041147556,1.0,2.146573814134808e-05,False,,0.05,0.00042931476282696157,11.765350454126835,0.005051038639789547
2024-03-07,NFLX,0.06925286477956497,1.0,0.00040936285634973757,0.00040936285634973757,1.0,2.8349550536564852e-05,False,,0.05,0.000566991010731297,24.924138914973884,0.014131762715008295
2024-03-07,TMO,0.05795945843791334,1.0,0.00034795842789725473,0.00034795842789725473,1.0,2.0167482039832602e-05,False,,0.05,0.000403349640796652,-21.1248896879613,-0.008520716667508088
2024-03-07,QQQ,0.06940849767625926,1.0,0.00029576466371261656,0.00029576466371261656,1.0,2.0528580974016746e-05,False,,0.05,0.0004105716194803349,4.15427635637637,0.001705627971406311
2024-03-08,TXN,0.048320973816559705,1.0,0.0002513999641556852,0.0002513999641556852,1.0,1.2147891085450915e-05,False,,0.05,0.0002429578217090183,-7.390140259010918,-0.001795492379453413
2024-03-11,ABBV,0.0670049587553644,1.0,0.00021368996953230468,0.00021368996953230468,1.0,1.4318287594947151e-05,False,,0.05,0.000286365751898943,9.020352525499224,0.002583120033358115
2024-03-12,COST,0.056146526211806914,1.0,0.00018163647410240902,0.00018163647410240902,1.0,1.0198257054211096e-05,False,,0.05,0.0002039651410842219,0.7848766400169596,0.0001600874746147692
2024-03-13,JPM,0.07471262320827471,1.0,0.00015439100298708652,0.00015439100298708652,1.0,1.153495683292181e-05,False,,0.05,0.0002306991366584362,22.958319412025716,0.00529646446748295
2024-03-15,MA,0.07458515032450433,1.0,0.00013123235253897914,0.00013123235253897914,1.0,9.787984741558106e-06,False,,0.05,0.0001957596948311621,-0.648964592212572,-0.00012704111052776266
2024-03-18,CVX,0.059933322208035184,1.0,0.00011154749965813782,0.00011154749965813782,1.0,6.685412238511868e-06,False,,0.05,0.00013370824477023735,17.86183609687464,0.002388274752886775
2024-03-19,QCOM,0.03938668016648656,1.0,9.4815374709456e-05,9.4815374709456e-05,1.0,3.734462838546922e-06,False,,0.05,7.468925677093843e-05,28.09418229371079,0.0020983335951045173
2024-03-20,PG,0.1,1.0,8.059306850305425e-05,8.059306850305425e-05,1.0,8.059306850305426e-06,False,,0.05,0.0001611861370061085,-22.40665079649652,-0.0036116414851321186
2024-03-20,HD,0.0575074131492442,1.0,6.850410822756281e-05,6.850410822756281e-05,1.0,3.9394940542629935e-06,False,,0.05,7.878988108525987e-05,-40.26014543197552,-0.0031720920710606197
2024-03-21,GE,0.04540462790970893,1.0,5.822849199343949e-05,5.822849199343949e-05,1.0,2.643843012705586e-06,False,,0.05,5.287686025411171e-05,66.66406039284192,0.0035249862053639658
2024-03-21,WFC,0.0615299822116881,1.0,4.949421819444577e-05,4.949421819444577e-05,1.0,3.0453783650856578e-06,False,,0.05,6.090756730171315e-05,-7.06746914085398,-0.00043046235234934463
2024-03-26,PFE,0.052796240029180826,1.0,4.207008546530666e-05,4.207008546530666e-05,1.0,2.221142330274482e-06,False,,0.05,4.442284660548964e-05,-33.417283975424354,-0.001484490880012363
2024-03-26,CAT,0.057447734985594745,1.0,3.575957264545515e-05,3.575957264545515e-05,1.0,2.0543064525342305e-06,False,,0.05,4.108612905068461e-05,8.51809142994093,0.0003499754037560836
2024-03-27,ISRG,0.05133373323044619,1.0,3.0395636748670185e-05,3.0395636748670185e-05,1.0,1.5603215082257821e-06,False,,0.05,3.120643016451564e-05,-33.484244185127736,-0.0010449237277747776
2024-03-27,MSFT,0.055742707697882164,1.0,2.583629123642517e-05,2.583629123642517e-05,1.0,1.4401848303894027e-06,False,,0.05,2.8803696607788053e-05,-10.490879527208584,-0.000302176111050571
2024-03-28,GOOGL,0.05738310673853945,1.0,2.1960847550905882e-05,2.1960847550905882e-05,1.0,1.2601816590824249e-06,False,,0.05,2.5203633181648496e-05,14.552194953661086,0.00036676818359991035
2024-04-01,LLY,0.055122685176883804,1.0,1.8666720418281102e-05,1.8666720418281102e-05,1.0,1.028959752901818e-06,False,,0.05,2.0579195058036357e-05,-20.122563319160253,-0.00041410615561268633
2024-04-02,PEP,0.0783885844568275,1.0,1.5866712355538937e-05,1.5866712355538937e-05,1.0,1.2437691215343524e-06,False,,0.05,2.4875382430687048e-05,3.190940828402264,7.937587342019965e-05
2024-04-03,AXP,0.0643122646708963,1.0,1.3486705502163687e-05,1.3486705502163687e-05,1.0,8.673605737935845e-07,False,,0.05,1.7347211475871687e-05,21.730863223010918,0.000376969879882813
2024-04-03,SPY,0.1,1.0,1.1463699676861339e-05,1.1463699676861339e-05,1.0,1.146369967686134e-06,False,,0.05,2.2927399353722677e-05,-18.007143692916095,-0.00041285697466735585
2024-04-05,QQQ,0.0880041721963391,1.0,9.744144725321036e-06,9.744144725321036e-06,1.0,8.575253903132018e-07,False,,0.05,1.7150507806264036e-05,-23.03968934338048,-0.00039514237193754524
2024-04-08,BRK-B,0.08302247192674349,1.0,8.282523016545085e-06,8.282523016545085e-06,1.0,6.876355346237211e-07,False,,0.05,1.3752710692474422e-05,-19.775454644744773,-0.00027196610654132443
2024-04-09,NFLX,0.04262664710227814,1.0,7.040144564096629e-06,7.040144564096629e-06,1.0,3.0009775788276875e-07,False,,0.05,6.001955157655375e-06,-63.650434540153,-0.00038202705387527713
2024-04-11,BAC,0.05438543028766807,1.0,5.984122879443277e-06,5.984122879443277e-06,1.0,3.2544909769280185e-07,False,,0.05,6.508981953856037e-06,5.341680012719035,3.4768898806061685e-05
2024-04-12,XOM,0.0783169364440525,1.0,5.086504447526785e-06,5.086504447526785e-06,1.0,3.9835944553934566e-07,False,,0.05,7.967188910786913e-06,-30.60667384195033,-0.00024384915242965852
2024-04-12,KO,0.1,1.0,4.323528780436625e-06,4.323528780436625e-06,1.0,4.323528780436625e-07,False,,0.05,8.64705756087325e-06,28.01557447485561,0.00024225228508500786
2024-04-15,DIS,0.054234154143178136,1.0,3.674999463409989e-06,3.674999463409989e-06,1.0,1.993104873746743e-07,False,,0.05,3.9862097474934856e-06,-7.68092528582606,-3.061777924412903e-05
2024-04-16,ABBV,0.0531310263487085,1.0,3.1237495439206953e-06,3.1237495439206953e-06,1.0,1.659680193248166e-07,False,,0.05,3.319360386496332e-06,5.944345449539229,1.9731424808850248e-05
2024-04-16,HD,0.04937870232757963,1.0,2.655187112288182e-06,2.655187112288182e-06,1.0,1.311096940417039e-07,False,,0.05,2.622193880834078e-06,13.145854929107156,3.4470980353437285e-05
