max_hold,trades,win_rate,net_expectancy,profit_factor,annual_return,sharpe,max_dd,avg_hold_actual,avg_invested_pct,exits_maxhold,exits_signal,exits_stop
1,1256,0.4156050955414013,-1.21709739282753,0.6412973198284987,-0.03872607529022787,-1.654663619540325,0.06168212469019918,0.9968152866242038,0.2497460195998517,1251,1,0
3,857,0.4749124854142357,-0.22678707680843538,0.955586983592282,0.06454283611233591,0.28115037382495983,0.03706923558654229,2.9754959159859977,0.5091559901254908,845,2,0
5,613,0.5154975530179445,0.6683502935826694,1.1069860213231013,0.10502944308931705,0.7298890868071192,0.06075837062264766,4.929853181076672,0.6029638964888482,600,3,0
7,484,0.5103305785123967,1.7586534278335286,1.224274592217136,0.13857388246380387,1.0554157572836875,0.05989261207467356,6.890495867768595,0.6657978495606973,472,1,0
10,362,0.5441988950276243,4.131385657702488,1.4916653572688197,0.1949334254006443,1.599530618925372,0.0403605067549343,9.743093922651934,0.7052846345902996,346,4,0
14,278,0.60431654676259,6.652896934352137,1.7246884902926827,0.22297513320529694,1.8211151196077409,0.06870978660430604,13.467625899280575,0.7480953308632952,259,5,0
20,208,0.5625,7.0908879529249695,1.6956350117798358,0.1753158957651042,1.300196244258036,0.05892551738654972,19.067307692307693,0.7958864480675085,187,3,0
