date,ticker,signal,confidence,signal_source,sector,n_matches,raw_prob,mean_7d_return
2024-02-13,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.152
2024-02-14,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.1139
2024-02-15,SPY,HOLD,0.460062,KNN,Index,51,0.352941,-0.491
2024-02-16,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.2067
2024-02-20,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.7621
2024-02-21,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.6689
2024-02-22,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.206
2024-02-23,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.1688
2024-02-26,SPY,HOLD,0.557009,KNN,Index,51,0.54902,-0.0777
2024-02-27,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.01
2024-02-28,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.0033
2024-02-29,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.2083
2024-03-01,SPY,HOLD,0.460062,KNN,Index,51,0.352941,-0.8471
2024-03-04,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.1427
2024-03-05,SPY,HOLD,0.489163,KNN,Index,51,0.411765,-0.6468
2024-03-06,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.0039
2024-03-07,SPY,HOLD,0.557009,KNN,Index,51,0.54902,-0.1633
2024-03-08,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.159
2024-03-11,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.3859
2024-03-12,SPY,HOLD,0.622793,KNN,Index,51,0.686275,0.7932
2024-03-13,SPY,HOLD,0.585592,KNN,Index,51,0.607843,-0.0915
2024-03-14,SPY,HOLD,0.576118,KNN,Index,51,0.588235,-0.0653
2024-03-15,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.0199
2024-03-18,SPY,HOLD,0.53773,KNN,Index,51,0.509804,-0.7583
