date,equity,cash,invested_capital,gross_exposure,open_positions,daily_return,cumulative_return,drawdown_from_peak,cash_yield_today,strategy_return_excl_cash,strategy_return_incl_cash
2024-01-02,10007.347430687725,5500.982142857143,4506.365287830583,0.450305669813334,9,0.0007347430687725254,0.0007347430687725254,0.0,0.9821428571428571,0.00063652878305831,0.0007347430687725254
2024-01-03,9974.726748943584,4501.051015395475,5473.675733548109,0.5487544542639047,11,-0.003259673152159137,-0.0025273251056416868,0.003259673152159137,0.8036156071050661,-0.0027059009520664645,-0.0025273251056416868
2024-01-04,9996.97440160552,3504.2039794904913,6492.770422115029,0.6494735468235556,13,0.002230402217713978,-0.00030255983944804665,0.0010365413166726345,0.6256389893751994,-0.0005436995848103754,-0.00030255983944804665
2024-01-05,10015.294914775342,3504.8297302011147,6510.465184574227,0.650052269051956,13,0.001832605789895858,0.0015294914775343393,0.0,0.625750710623302,0.0012257766611094567,0.0015294914775343393
2024-01-08,10120.498615671782,3505.4555926529365,6615.043023018847,0.6536281732972453,13,0.010504303846433416,0.012049861567178244,0.0,0.6258624518216276,0.0116835605055714,0.012049861567178244
2024-01-09,10114.123126472046,2999.966274487538,7114.156851984509,0.7033883969006051,14,-0.0006299580131223781,0.011412312647204548,0.0006299580131223781,0.5356126181909548,0.010992450323778824,0.011412312647204548
2024-01-10,10169.666583522505,3000.5019827508395,7169.164600771665,0.7049557172688011,14,0.0054916730156351345,0.01696665835225053,0.0,0.5357082633013461,0.01649322520249452,0.01696665835225053
2024-01-11,10174.499770214023,2492.4636569057097,7682.036113308312,0.7550283833901663,15,0.0004752551769346969,0.017449977021402274,0.0,0.4450033309954847,0.016932043538546715,0.017449977021402274
2024-01-12,10189.634158300458,3070.827460977062,7118.806697323395,0.6986322164986098,14,0.0014874822770885032,0.018963415830045793,0.0,0.5482641422919232,0.018390655932961186,0.018963415830045793
2024-01-16,10155.112502565618,2561.8031362322286,7593.30936633339,0.7477326680935336,15,-0.003387919055633404,0.015511250256561748,0.003387919055633404,0.4573831701896498,0.01489275204245799,0.015511250256561748
2024-01-17,10106.608571020071,2562.260601077984,7544.347969942087,0.7464767154013393,15,-0.004776306666547825,0.010660857102007038,0.008148043981810127,0.4574648457557551,0.009996612403327942,0.010660857102007038
2024-01-18,10160.252482779151,2562.718147613891,7597.53433516526,0.7477702299271104,15,0.005307805420791567,0.016025248277915072,0.0028834867930338515,0.4575465359067829,0.015315248925645175,0.016025248277915072
2024-01-19,10249.347716013026,2563.175775854536,7686.17194015849,0.7499181560744622,15,0.008768997954025748,0.02493477160130264,0.0,0.45762824064533764,0.02417900942496809,0.02493477160130264
2024-01-22,10218.586644499606,2563.63348581451,7654.953158685096,0.749120541323154,15,-0.003001271140929296,0.02185866444996054,0.003001271140929296,0.45770995997402425,0.02105713127762865,0.02185866444996054
2024-01-23,10294.59348754226,5150.3029210183995,5144.29056652386,0.4997079848513778,10,0.007438097428431156,0.029459348754226067,0.0,0.9195327479054454,0.028565862307103673,0.029459348754226067
2024-01-24,10273.813433403617,5166.3795423902975,5107.433891013319,0.4971312671891955,10,-0.0020185405245763954,0.027381343340361575,0.0020185405245763954,0.9224030605945898,0.026395616587179704,0.027381343340361575
2024-01-25,10289.565121959706,5165.664049523399,5123.901072436306,0.4979706150555399,10,0.0015331881056819263,0.028956512195970507,0.0004884472212176583,0.9222753168226029,0.027878557911106272,0.028956512195970507
2024-01-26,10289.575599955908,4652.0163623170965,5637.559237638812,0.5478903559115664,11,1.0183128322793777e-06,0.028957559995590687,0.00048742940577739535,0.8305688916831094,0.027796548821558353,0.028957559995590687
2024-01-29,10344.10912651323,4652.847079524653,5691.262046988577,0.5501935427577005,11,0.0052998810327566925,0.03441091265132301,0.0,0.8307172075566244,0.033166829756534844,0.03441091265132301
2024-01-30,10333.6254535961,4160.9763672648305,6172.649086331269,0.5973362508685844,12,-0.0010134921034679056,0.03336254535961003,0.0010134921034679056,0.7428988336484253,0.032044172581456865,0.03336254535961003
2024-01-31,10284.747987596355,3128.1723243734173,7156.575663222937,0.6958435609558867,14,-0.004729943640712886,0.028474798759635433,0.005738641983651038,0.5585024681973607,0.027100575734662735,0.028474798759635433
2024-02-01,10339.583716684225,3658.5791805062086,6681.004536178017,0.6461579807509438,13,0.005331752334039042,0.033958371668422416,0.0004374866674025091,0.6532010677568664,0.032518828536674205,0.033958371668422416
2024-02-02,10376.649588227356,3659.232498217013,6717.417090010342,0.6473589604135297,13,0.003584851436844616,0.03766495882273557,0.0,0.6533177108046802,0.03616008391990677,0.03766495882273557
2024-02-05,10383.704337238458,4196.973970150804,6186.730367087654,0.5958114913673488,12,0.0006798677117425544,0.03837043372384574,0.0,0.749325829343118,0.0367906262380826,0.03837043372384574
2024-02-06,10415.716493315926,3159.167572772749,7256.548920543176,0.6966922462991306,14,0.0030829225330177845,0.04157164933159252,0.0,0.5640363457905283,0.03993543821125023,0.04157164933159252
2024-02-07,10465.461987252933,2638.852887704829,7826.6090995481045,0.7478512758520374,15,0.004776003068913237,0.04654619872529331,0.0,0.47113959787624154,0.04486287364516328,0.04654619872529331
2024-02-08,10544.234548576918,2639.324111434776,7904.910437142143,0.7496903071270369,15,0.007526907213454281,0.054423454857691844,0.0,0.4712237299472909,0.05269300740456728,0.054423454857691844
2024-02-09,10555.886029877202,2112.4895469316452,8443.396482945556,0.7998756768543644,16,0.0011050096853029157,0.05558860298772017,0.0,0.37716292571534465,0.053820439242024065,0.05558860298772017
2024-02-12,10579.165188782137,3668.0885267140106,6911.076662068127,0.653272402759761,13,0.0022053249569999878,0.05791651887821381,0.0,0.6548988621164097,0.0560828652463059,0.05791651887821381
